URL: https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/so-do-to-chuc

Các Đơn vị / Phòng ban 2 là ở Hồ Chí Minh, còn lại ở Hà Nội

| Đơn vị / Phòng ban                   | Điện thoại       | Email                                               | Địa chỉ                                            |
| ------------------------------------ | ---------------- | --------------------------------------------------- | -------------------------------------------------- |
| Hội đồng Học viện                    | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Đường Nguyễn Trãi, Q. Hà Đông, Hà Nội        |
| Đảng ủy Học viện                     | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Đường Nguyễn Trãi, Q. Hà Đông, Hà Nội        |
| Ban giám đốc                         | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Đường Nguyễn Trãi, Q. Hà Đông, Hà Nội        |
| Công đoàn và Đoàn thanh niên         | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Đường Nguyễn Trãi, Q. Hà Đông, Hà Nội        |
| Văn phòng                            | (024) 38.544.451 | [vanphong@ptit.edu.vn](mailto:vanphong@ptit.edu.vn) | Tầng 2, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội |
| Phòng Tổ chức Cán bộ - Lao động      | 024 3756 2186    | [tccb@ptit.edu.vn](mailto:tccb@ptit.edu.vn)         | Tầng 2, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội |
| Phòng Chính trị & Công tác sinh viên | (024) 38 547 795 | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Tầng 1, nhà A1, Học viện CN BCVT                   |
| Phòng Giáo vụ                        | (024) 38 547 797 | [giaovu@ptit.edu.vn](mailto:giaovu@ptit.edu.vn)     | Tầng 1, nhà A1, Học viện CN BCVT                   |
| Phòng Tài chính Kế toán              | (024) 38 547 796 | [tckt@ptit.edu.vn](mailto:tckt@ptit.edu.vn)         | Tầng 1, nhà A1, Học viện CN BCVT                   |
| Phòng Kế hoạch & Đầu tư              | 024 3756 2186    | [khdt@ptit.edu.vn](mailto:khdt@ptit.edu.vn)         | Nhà B14, Học viện CN BCVT                          |
| Phòng Đào tạo                        | (024) 3351 2252  | [daotao@ptit.edu.vn](mailto:daotao@ptit.edu.vn)     | Tầng 2, nhà A1, Km10, Nguyễn Trãi, Hà Đông         |
| Phòng Quản lý KHCN & Hợp tác QT      | 024 3352 4054    | [khcnhtqt@ptit.edu.vn](mailto:khcnhtqt@ptit.edu.vn) | Tầng 1, nhà A3, Km10, Nguyễn Trãi, Hà Đông         |
| Trung tâm Dịch vụ                    | 024 3854 4256    | [ttdv@ptit.edu.vn](mailto:ttdv@ptit.edu.vn)         | Nhà B14, Km10, Nguyễn Trãi, Hà Đông                |
| Trung tâm Khảo thí & Đảm bảo CLGD    | 024 3854 3664    | [khaothi@ptit.edu.vn](mailto:khaothi@ptit.edu.vn)   | Tầng 1, nhà A1, Km10, Nguyễn Trãi, Hà Đông         |
